name,company,image,for_gender,rating,number_votes,main accords ,sillage,top notes,middle notes,base notes,longevity,,gender_vote,price value,,,,,,,,seasons,main accords old
Angels' Share,By Kilian,https://fimgs.net/mdimg/perfume/375x500.62615.jpg,for women and men,4.31,682,"woody , sweet , warm spicy , vanilla , cinnamon , amber , powdery , lactonic , aromatic ",moderate,['Cognac'],"['Cinnamon', 'Tonka Bean', 'Oak']","['Praline', 'Vanilla', 'Sandalwood']","{'very weak': 21, 'weak': 17, 'moderate': 107, 'long lasting': 184, 'eternal': 78}",,"{'female': 40, 'more female': 39, 'unisex': 226, 'more male': 51, 'male': 20}","{'way overpriced': 64, 'overpriced': 143, 'ok': 98, 'good value': 27, 'great value': 11}",,,,,,,,winter,"{'woody': 100.0, 'sweet': 92.6987, 'warm spicy': 89.4303, 'vanilla': 78.3058, 'cinnamon': 67.3313, 'amber': 52.084, 'powdery': 46.3568, 'lactonic': 44.7526, 'aromatic': 44.5877}"
Libre Intense,Yves Saint Laurent,https://fimgs.net/mdimg/perfume/375x500.62318.jpg,for women,4.02,858,"vanilla , aromatic , sweet , white floral , lavender , amber , citrus , powdery , floral , fresh spicy ",strong,"['Lavender', 'Mandarin Orange', 'Bergamot']","['Lavender', 'Tunisian Orange Blossom', 'Jasmine Sambac', 'Orchid']","['Madagascar Vanilla', 'Tonka Bean', 'Ambergris', 'Vetiver']","{'very weak': 24, 'weak': 12, 'moderate': 103, 'long lasting': 212, 'eternal': 84}",,"{'female': 162, 'more female': 91, 'unisex': 70, 'more male': 8, 'male': 2}","{'way overpriced': 11, 'overpriced': 59, 'ok': 136, 'good value': 35, 'great value': 6}",,,,,,,,fall,"{'vanilla': 100.0, 'aromatic': 71.4216, 'sweet': 69.9134, 'white floral': 69.338, 'lavender': 69.1826, 'amber': 68.4051, 'citrus': 67.861, 'powdery': 48.7517, 'floral': 48.5651, 'fresh spicy': 47.8188}"
Dior Homme 2020,Christian Dior,https://fimgs.net/mdimg/perfume/375x500.58714.jpg,for men,3.42,1402,"woody , musky , amber , aromatic ",moderate,"['Bergamot', 'Pink Pepper', 'elemi']","['Cashmere Wood', 'Atlas Cedar', 'Patchouli']","['Iso E Super', 'Haitian Vetiver', 'White Musk']","{'very weak': 125, 'weak': 83, 'moderate': 174, 'long lasting': 288, 'eternal': 77}",,"{'female': 3, 'more female': 1, 'unisex': 17, 'more male': 56, 'male': 199}","{'way overpriced': 31, 'overpriced': 59, 'ok': 134, 'good value': 33, 'great value': 3}",,,,,,,,spring and fall,"{'woody': 100.0, 'musky': 72.7229, 'amber': 53.4101, 'aromatic': 51.5617}"
Acqua di Giò Profondo,Giorgio Armani,https://fimgs.net/mdimg/perfume/375x500.59532.jpg,for men,4.03,869,"aromatic , marine , citrus , fresh spicy , woody , fresh , mineral , musky , salty , patchouli ",moderate,"['Sea Notes', 'Aquozone', 'Bergamot', 'Green Mandarin']","['Rosemary', 'Cypress', 'Lavender', 'Mastic or Lentisque']","['Mineral notes', 'Musk', 'Patchouli', 'Amber']","{'very weak': 59, 'weak': 66, 'moderate': 188, 'long lasting': 221, 'eternal': 35}",,"{'female': 3, 'more female': 0, 'unisex': 5, 'more male': 71, 'male': 151}","{'way overpriced': 32, 'overpriced': 84, 'ok': 80, 'good value': 21, 'great value': 4}",,,,,,,,spring,"{'aromatic': 100.0, 'marine': 93.2493, 'citrus': 79.7199, 'fresh spicy': 68.3193, 'woody': 67.7451, 'fresh': 62.493, 'mineral': 58.0112, 'musky': 45.126, 'salty': 44.902, 'patchouli': 44.4258}"
Le Male Le Parfum,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.61856.jpg,for men,4.26,690,"warm spicy , vanilla , aromatic , lavender , amber , powdery , iris , woody ",moderate,['Cardamom'],"['Lavender', 'iris']","['Vanilla', 'Oriental notes', 'Woodsy Notes']","{'very weak': 18, 'weak': 31, 'moderate': 129, 'long lasting': 252, 'eternal': 77}",,"{'female': 3, 'more female': 2, 'unisex': 39, 'more male': 132, 'male': 154}","{'way overpriced': 13, 'overpriced': 46, 'ok': 154, 'good value': 70, 'great value': 7}",,,,,,,,winter,"{'warm spicy': 100.0, 'vanilla': 72.2173, 'aromatic': 60.6231, 'lavender': 58.2483, 'amber': 58.2173, 'powdery': 56.8204, 'iris': 53.592, 'woody': 53.3437}"
Angel Nova,Mugler,https://fimgs.net/mdimg/perfume/375x500.61519.jpg,for women,3.54,814,"fruity , rose , sweet , oud , woody , tropical , warm spicy , amber , fresh ",strong,"['Raspberry', 'Litchi']",['Damask Rose'],"['Akigalawood', 'Benzoin']","{'very weak': 29, 'weak': 36, 'moderate': 112, 'long lasting': 153, 'eternal': 74}",,"{'female': 184, 'more female': 26, 'unisex': 9, 'more male': 4, 'male': 1}","{'way overpriced': 10, 'overpriced': 41, 'ok': 107, 'good value': 20, 'great value': 14}",,,,,,,,spring,"{'fruity': 100.0, 'rose': 65.8115, 'sweet': 61.6736, 'oud': 57.181, 'woody': 54.1609, 'tropical': 51.216, 'warm spicy': 49.3889, 'amber': 44.6169, 'fresh': 44.144}"
L'Homme Idéal Extrême,Guerlain,https://fimgs.net/mdimg/perfume/375x500.60284.jpg,for men,4.38,434,"fruity , sweet , almond , tobacco , leather , nutty , warm spicy , cinnamon , woody , powdery ",moderate,"['Almond', 'Pink Pepper', 'Bergamot']","['Plum', 'Cinnamon', 'Heliotrope']","['Tobacco', 'Leather', 'Patchouli', 'Cedar']","{'very weak': 19, 'weak': 33, 'moderate': 87, 'long lasting': 127, 'eternal': 45}",,"{'female': 6, 'more female': 1, 'unisex': 16, 'more male': 77, 'male': 85}","{'way overpriced': 5, 'overpriced': 25, 'ok': 76, 'good value': 57, 'great value': 6}",,,,,,,,winter and fall,"{'fruity': 100.0, 'sweet': 92.2085, 'almond': 90.6687, 'tobacco': 69.4193, 'leather': 66.6476, 'nutty': 60.4884, 'warm spicy': 60.1804, 'cinnamon': 57.7167, 'woody': 52.3889, 'powdery': 49.1861}"
La Nuit Tresor Nude,Lancome,https://fimgs.net/mdimg/perfume/375x500.58825.jpg,for women,4.05,583,"vanilla , coconut , sweet , citrus , rose , lactonic , powdery , tropical ",moderate,['Bergamot'],['Rose'],"['Coconut', 'Vanila']","{'very weak': 31, 'weak': 22, 'moderate': 112, 'long lasting': 81, 'eternal': 34}",,"{'female': 109, 'more female': 7, 'unisex': 1, 'more male': 0, 'male': 0}","{'way overpriced': 7, 'overpriced': 23, 'ok': 68, 'good value': 12, 'great value': 4}",,,,,,,,spring,"{'vanilla': 100.0, 'coconut': 85.9852, 'sweet': 63.035, 'citrus': 52.0233, 'rose': 51.5042, 'lactonic': 49.5948, 'powdery': 48.0561, 'tropical': 46.7956}"
The Only One Eau de Parfum Intense,Dolce&Gabbana,https://fimgs.net/mdimg/perfume/375x500.59312.jpg,for women,4.12,562,"white floral , vanilla , woody , citrus , coconut , sweet , fresh ",moderate,"['Neroli', 'Green Apple', 'Italian Mandarin']","['Jasmine', 'Coconut', 'Orange Blossom']","['Vanilla', 'Cashmere Wood', 'Cedar']","{'very weak': 20, 'weak': 24, 'moderate': 89, 'long lasting': 96, 'eternal': 39}",,"{'female': 106, 'more female': 27, 'unisex': 11, 'more male': 5, 'male': 2}","{'way overpriced': 5, 'overpriced': 17, 'ok': 74, 'good value': 19, 'great value': 6}",,,,,,,,fall,"{'white floral': 100.0, 'vanilla': 75.2123, 'woody': 65.9461, 'citrus': 64.2808, 'coconut': 59.2466, 'sweet': 57.7603, 'fresh': 45.8858}"
Black Orchid Parfum,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.62199.jpg,for women and men,4.26,452,"earthy , sweet , woody , yellow floral , fruity , patchouli , rum , floral , warm spicy , animalic ",enormous,"['Truffle', 'Plum']","['Ylang-Ylang', 'Rum', 'Black Orchid']",['Patchouli'],"{'very weak': 17, 'weak': 10, 'moderate': 25, 'long lasting': 106, 'eternal': 115}",,"{'female': 17, 'more female': 40, 'unisex': 110, 'more male': 8, 'male': 6}","{'way overpriced': 17, 'overpriced': 42, 'ok': 52, 'good value': 14, 'great value': 12}",,,,,,,,winter,"{'earthy': 100.0, 'sweet': 98.1833, 'woody': 90.1842, 'yellow floral': 80.6907, 'fruity': 72.7794, 'patchouli': 72.4864, 'rum': 68.4429, 'floral': 64.1942, 'warm spicy': 60.8539, 'animalic': 47.6685}"
